Numero,UsoIP,URLLargo,URLCorto,SimboloArroba,Redireccion,PrefijoSufijo,SubDominio,HTTPS,ExpiracionCreacionDominio,Icono,NoPuertoStd,HTTPSURLDominio,URLRespuesta,URLAnclaje,ScriptEnlaceEnEtiquetas,ControladorFormulariosServidor,InformacionCorreo,URLAnormal,ReenvioSitiosWeb,BarraEstadoPersonalizado,DeshabilitacionClicDerecho,UsoVentanaEmergente,RedireccionMarcoFlotante,EdadDeDominio,GrabacionDNS,TraficoSitioWeb,RangoPagina,IndiceGoogle,EnlacesApuntanPagina,ReporteEstadisticas,Clase,Url,Mensaje
687,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,1,1,https://www.minedu.gob.bo/index.php?option=com_content&view=article&id=6233&Itemid=1217,Sitio web sospechoso detectado
688,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://sisep.minedu.gob.bo,Sitio web sospechoso detectado
689,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,1,1,https://www.minedu.gob.bo/index.php?option=com_content&view=article&id=7868&catid=93&Itemid=933,Sitio web sospechoso detectado
690,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,https://www.economiayfinanzas.gob.bo/index.php/compensacion-cotizaciones?title=&field_fecha_value=&order=field_gestion&sort=asc#main-content,Sitio web sospechoso detectado
691,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,https://www.economiayfinanzas.gob.bo/index.php/compensacion-cotizaciones?title=&field_fecha_value=&order=field_gestion&sort=desc,Sitio web sospechoso detectado
692,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo,Sitio web sospechoso detectado
693,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/institucion,Sitio web sospechoso detectado
694,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/institucion/#mision-vision,Sitio web sospechoso detectado
695,1,0,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/institucion/#acciones-institucionales,Sitio web sospechoso detectado
696,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/institucion/#plan-recursos,Sitio web sospechoso detectado
697,1,0,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/institucion/#informacion-financiera,Sitio web sospechoso detectado
698,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/marco-normativo,Sitio web sospechoso detectado
699,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/auditoria-interna,Sitio web sospechoso detectado
700,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/datos-estadisticos,Sitio web sospechoso detectado
701,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/transparencia,Sitio web sospechoso detectado
702,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/covid-19,Sitio web sospechoso detectado
703,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/contacto,Sitio web sospechoso detectado
704,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Plan-Estrategico-Institucional-2021-2025-1.pdf,Sitio web sospechoso detectado
705,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Plan-Operativo-Anual-1.pdf,Sitio web sospechoso detectado
706,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Programado-Ejecutado-y-Resultados-1.pdf,Sitio web sospechoso detectado
707,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Informe-de-Gestion-1.pdf,Sitio web sospechoso detectado
708,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Personal-Dependiente-y-Consultores-1.pdf,Sitio web sospechoso detectado
709,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/convocatorias,Sitio web sospechoso detectado
710,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Escala-Salarial2024-1.pdf,Sitio web sospechoso detectado
